,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,18,chaque,each
17,19,parlé,speak
18,21,devrait,should
19,22,bébé,baby
20,23,longtemps,long time
21,24,heures,hours
22,25,vont,will
23,26,pendant,while
24,27,revoir,meet again
25,28,aucune,any
26,29,place,square
27,30,parle,speak
28,31,savais,knew
29,32,étaient,were
30,33,attention,Warning
31,34,voici,here is
32,35,pourrais,could
33,36,affaire,case
34,37,donner,give
35,38,type,type
36,39,leurs,their
37,40,donné,given
38,42,corps,body
39,43,endroit,place
40,44,yeux,eyes
41,45,façon,way
42,46,écoute,listen
43,47,premier,first
44,48,perdu,lost
45,49,main,hand
46,50,première,first
47,51,côté,side
48,52,pouvoir,power
49,53,vieux,old
50,54,sois,be
51,55,tiens,here
52,56,matin,morning
53,57,tellement,so much
54,58,enfant,child
55,60,suite,after
56,61,pardon,sorry
57,62,venez,come
58,63,devant,in front of
59,64,vers,towards
60,65,minutes,minutes
61,66,demandé,request
62,67,chambre,bedroom
63,69,belle,beautiful
64,70,droit,law
65,71,aimerais,would like to
66,72,aujourd'hui,today
67,73,mari,husband
68,74,cause,cause
69,75,enfin,finally
70,76,espère,hope
71,78,attendez,Wait
72,79,parti,left
73,80,nouvelle,new
74,81,boulot,job
75,82,arrêter,Stop
76,83,dirait,would say
77,85,compte,account
78,86,donne,given
79,87,loin,far
80,88,fin,end
81,89,croire,believe
82,90,chérie,sweetheart
83,91,gros,large
84,93,aura,will have
85,94,filles,girls
86,95,jouer,to play
87,96,bureau,office
